id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
57767,57939.0,103095.0,4550.0,Gl 451A,,Groombridge 1830,11.88282,37.718679,9.0917,4003.69,-5813.0,-99.1,6.42,6.627,G8Vp,0.754,-7.187679,0.220247,5.561623,-8.204e-05,-0.00017401,-0.00026465,3.1109149833224112,0.6583151445815625,1.9410436847e-05,-2.818221925e-05,,,UMa,1,57767,Gl 451,0.194625615936124,CF,6.546,6.406
109042,109388.0,,,Gl 849,,,22.161207,-4.640729,9.0959,1134.9,-19.71,-14.8,10.41,10.616,M3,1.531,8.035603,-4.197679,-0.735916,9.74e-06,5.137e-05,3.6e-07,5.801790314816531,-0.08099599912179,5.5021504606e-06,-9.5556776e-08,,,Aqr,1,109042,,0.004938556196176,,,
40386,40501.0,,,GJ 2066,,,8.268884,1.302573,9.1224,-375.01,60.11,0.0,10.08,10.279,,1.51,-5.104251,7.557897,0.207372,1.378e-05,9.23e-06,2.66e-06,2.164788738626895,0.0227341889381512,-1.8180997835e-06,2.91421503e-07,,,Hya,1,40386,,0.0067359677622294,,,
64189,64394.0,114710.0,4983.0,Gl 502,43Bet Com,,13.197904,27.878183,9.1291,-801.94,882.7,5.1,4.23,4.428,G0V,0.572,-7.676072,-2.489414,4.268726,2.04e-06,3.797e-05,3.697e-05,3.4552032157452386,0.4865660841906324,-3.8879148298e-06,4.279450358e-06,Bet,43.0,Com,1,64189,,1.4750271017597587,,,
15419,15457.0,20630.0,996.0,Gl 137,96Kap1Cet,,3.322693,3.370198,9.1399,268.88,93.53,18.9,4.84,5.035,G5Vvar,0.681,5.88441,6.973226,0.537318,3.18e-06,2.224e-05,5.27e-06,0.8698790592114625,0.0588210486545562,1.3035670243e-06,4.53446235e-07,Kap-1,96.0,Cet,1,15419,,0.843334757764275,Kap-1,4.864,4.824
9702,9724.0,,,Gl 84,,,2.084669,-17.614632,9.1424,1317.53,-173.94,-35.0,10.19,10.385,M3,1.514,7.447634,4.522928,-2.766518,-6.146e-05,3.099e-05,3.48e-06,0.5457651131997475,-0.3074333207430063,6.3875656854e-06,-8.43284915e-07,,,Cet,1,9702,,0.0061094202490557,,,
118779,,,,Gl 451B,,,11.882015,37.719619,9.1567,4003.3,-5803.11,0.0,12.0,12.191,,,-7.239693,0.221836,5.602057,-0.00016346,-0.00017258,-0.00020354,3.110704304303684,0.65833154719875,1.94085460737e-05,-2.8134276025e-05,,,UMa,2,57767,Gl 451,0.0011577105741152,,,
118459,,,,GJ 3421,,,7.065292,52.707092,9.1659,718.94,-910.34,0.0,13.3,13.489,M4.5,1.84,-1.529443,5.338769,7.291918,-3.957e-05,2.215e-05,-2.45e-05,1.849689063973749,0.91991228635705,3.485519475e-06,-4.413452859e-06,,,Lyn,1,118459,,0.0003502676269138,,,
23457,23512.0,,,GJ 3325,,,5.055581,-17.373541,9.2073,-226.25,-447.88,0.0,11.71,11.889,K:,1.661,2.150567,8.520023,-2.749301,8.33e-06,-8.26e-06,-1.908e-05,1.3235480352041675,-0.30322550060573,-1.0968909523e-06,-2.171383512e-06,,,Lep,1,23457,,0.0015289736466907,,11.798,11.628
57270,57443.0,102365.0,4523.0,Gl 442A,,,11.775376,-40.500354,9.2208,-1531.69,403.41,15.3,4.89,5.066,G3/G5V,0.664,-6.99949,0.412234,-5.988563,-1.955e-05,6.973e-05,3.55e-06,3.0827862158766925,-0.706864524864905,-7.4258426637e-06,1.955786868e-06,,,Cen,1,57270,Gl 442,0.8195963204818458,,,
118771,,,,Gl 442B,,,11.776003,-40.495551,9.2396,-1540.05,395.42,0.0,15.0,15.172,,,-7.014188,0.412626,-6.000094,-7.47e-06,6.953e-05,1.347e-05,3.08295044134563,-0.7067806954568501,-7.4663730874e-06,1.917030863e-06,,,Cen,2,57270,Gl 442,7.43361389655e-05,,,
105519,105858.0,203608.0,8181.0,Gl 827,Gam Pav,,21.440705,-65.366198,9.2618,81.08,800.68,-29.4,4.21,4.377,F6V,0.494,3.025799,-2.397286,-8.418648,1.805e-05,-9.66e-06,4.232e-05,5.6131635375106566,-1.1408553781959514,3.930869322e-07,3.881806177e-06,Gam,,Pav,1,105519,,1.545966219386674,,,
23877,23932.0,,,Gl 190,,,5.143064,-18.172048,9.2721,503.75,-1400.17,7.0,10.28,10.444,M5,1.52,1.95987,8.588938,-2.891723,-2.493e-05,-7.46e-06,-6.203e-05,1.346450971678013,-0.3171620738874712,2.4422489158e-06,-6.788215711e-06,,,Lep,1,23877,,0.0057862873881795,,10.338,10.228
21879,21932.0,285968.0,,Gl 176,,,4.715487,18.958171,9.2739,659.83,-1114.72,26.4,9.95,10.114,M2,1.523,2.894283,8.279782,3.012961,-1.42e-05,4.927e-05,-3.862e-05,1.2345117167784485,0.3308825102432337,3.1989461084e-06,-5.404315059e-06,,,Tau,1,21879,,0.0078415154052812,,,
9764,9786.0,,,GJ 3135,,,2.096834,-30.17665,9.2756,-527.75,100.08,0.0,12.15,12.313,K:...,1.719,6.840438,4.183997,-4.662544,1.431e-05,-1.906e-05,3.89e-06,0.5489497742132576,-0.5266818914866037,-2.5586041991e-06,4.85201531e-07,,,For,1,9764,,0.0010346655758424,,12.25,12.04
118409,,,,GJ 3380,,,6.041436,49.863974,9.2764,76.68,-796.32,0.0,14.47,14.633,m,1.87,-0.064926,5.979256,7.091959,-3.74e-06,2.734e-05,-2.308e-05,1.5816441727565125,0.8702905205546,3.717551303e-07,-3.860648908e-06,,,Aur,1,118409,,0.0001221237130165,,,
66694,66906.0,,,GJ 3801,,,13.712023,33.290104,9.279,-111.47,-706.72,0.0,12.03,12.192,M:,2.4,-6.990214,-3.361201,5.093044,-1.79e-05,-3.04e-06,-2.657e-05,3.589799153309165,0.5810219190916237,-5.404218097e-07,-3.426275243e-06,,,CVn,1,66694,,0.0011566447741656,,12.14,11.94
119344,,,,GJ 1253,,,20.434689,58.57218,9.2937,245.0,547.7,0.0,14.04,14.199,M5,1.79,2.884081,-3.894277,7.930293,-3.66e-06,2.349e-05,1.287e-05,5.349788959675868,1.0222773912263998,1.1877935174e-06,2.655324528e-06,,,Cyg,1,119344,,0.0001821377637105,,,
